country,capital
Afghanistan,Kabul
Albanien,Tirana
Algeriet,Alger
Andorra,Andorra la Vella
Angola,Luanda
Antigua och Barbuda,Saint John's
Argentina,Buenos Aires
Armenien,Jerevan
Australien,Canberra
Azerbajdzjan,Baku
Bahamas,Nassau
Bahrain,Manama
Bangladesh,Dhaka
Barbados,Bridgetown
Belgien,Bryssel
Belize,Belmopan
Benin,Porto-Novo
Bhutan,Thimphu
Bolivia,Sucre
Bosnien och Hercegovina,Sarajevo
Botswana,Gaborone
Brasilien,Brasília
Brunei,Bandar Seri Begawan
Bulgarien,Sofia
Burkina Faso,Ouagadougou
Burma,Naypyidaw
Burundi,Bujumbura
Centralafrikanska republiken,Bangui
Chile,Santiago de Chile
Colombia,Bogotá
Cooköarna,Avarua
Costa Rica,San José
Cypern,Nicosia
Danmark,Köpenhamn
Djibouti,Djibouti
Dominica,Roseau
Dominikanska republiken,Santo Domingo
Ecuador,Quito
Egypten,Kairo
Ekvatorialguinea,Malabo
El Salvador,San Salvador
Elfenbenskusten,Yamoussoukro
Eritrea,Asmara
Estland,Tallinn
Etiopien,Addis Abeba
Fiji,Suva
Filippinerna,Manila
Finland,Helsingfors
Frankrike,Paris
Förenade Arabemiraten,Abu Dhabi
Gabon,Libreville
Gambia,Banjul
Georgia,Tbilisi
Ghana,Accra
Grekland,Aten
Grenada,Saint George's
Guatemala,Guatemala City
Guinea,Conakry
Guinea-Bissau,Bissau
Guyana,Georgetown
Haiti,Port-au-Prince
Honduras,Tegucigalpa
Indien,New Delhi
Indonesien,Jakarta
Irak,Bagdad
Iran,Teheran
Irland,Dublin
Island,Reykjavik
Israel,Jerusalem
Italien,Rom
Jamaica,Kingston
Japan,Tokyo prefektur
Jemen,Sanaa
Jordanien,Amman
Kambodja,Phnom Penh
Kamerun,Yaoundé
Kanada,Ottawa
Kap Verde,Praia
Kazakstan,Astana
Kenya,Nairobi
Kina,Peking
Kirgizistan,Bisjkek
Kiribati,South Tarawa
Komorerna,Moroni
Kongo-Brazzaville,Brazzaville
Kongo-Kinshasa,Kinshasa
Kosovo,Pristina
Kroatien,Zagreb
Kuba,Havanna
Kuwait,Kuwait
Laos,Vientiane
Lesotho,Maseru
Lettland,Riga
Libanon,Beirut
Liberia,Monrovia
Libyen,Tripoli
Liechtenstein,Vaduz
Litauen,Vilnius
Luxemburg,Luxemburg
Madagaskar,Antananarivo
Makedonien,Skopje
Malawi,Lilongwe
Malaysia,Kuala Lumpur
Maldiverna,Malé
Mali,Bamako
Malta,Valletta
Marocko,Rabat
Marshallöarna,Majuro
Mauretanien,Nouakchott
Mauritius,Port Louis
Mexiko,Mexico City
Mikronesien,Palikir
Moçambique,Maputo
Moldavien,Chișinău
Monaco,Monaco
Mongoliet,Ulan Bator
Montenegro,Podgorica
Namibia,Windhoek
Nauru,Yaren
Nederländerna,Amsterdam
Nepal,Katmandu
Nicaragua,Managua
Niger,Niamey
Nigeria,Abuja
Niue,Alofi
Nordkorea,Pyongyang
Norge,Oslo
Nya Zeeland,Wellington
Oman,Muskat
Pakistan,Islamabad
Palau,Ngerulmud
Panama,Panama City
Papua Nya Guinea,Port Moresby
Paraguay,Asunción
Peru,Lima
Polen,Warszawa
Portugal,Lissabon
Qatar,Doha
Rumänien,Bukarest
Rwanda,Kigali
Ryssland,Moskva
Saint Kitts och Nevis,Basseterre
Saint Lucia,Castries
Saint Vincent och Grenadinerna,Kingstown
Salomonöarna,Honiara
Samoa,Apia
San Marino,San Marino
São Tomé och Príncipe,São Tomé
Saudiarabien,Riyadh
Schweiz,Bern
Senegal,Dakar
Serbien,Belgrad
Seychellerna,Victoria
Sierra Leone,Freetown
Singapore,Singapore
Slovakien,Bratislava
Slovenien,Ljubljana
Somalia,Mogadishu
Spanien,Madrid
Sri Lanka,Colombo
Storbritannien,London
Sudan,Khartoum
Surinam,Paramaribo
Sverige,Stockholm
Swaziland,Mbabane
Sydafrika,Pretoria
Sydkorea,Seoul
Sydsudan,Juba
Syrien,Damaskus
Tadzjikistan,Dusjanbe
Taiwan,Taipei
Tanzania,Dodoma
Tchad,N'Djamena
Thailand,Bangkok
Tjeckien,Prag
Togo,Lomé
Tonga,Nuku'alofa
Trinidad och Tobago,Port of Spain
Tunisien,Tunis
Turkiet,Ankara
Turkmenistan,Asjchabad
Tuvalu,Funafuti
Tyskland,Berlin
Uganda,Kampala
Ukraina,Kiev
Ungern,Budapest
Uruguay,Montevideo
USA,Washington D.C.
Uzbekistan,Tasjkent
Vanuatu,Port Vila
Vatikanstaten,Vatikanstaten
Venezuela,Caracas
Vietnam,Hanoi
Vitryssland,Minsk
Västsahara,Al-Ayun
Zambia,Lusaka
Zimbabwe,Harare
Österrike,Wien
Östtimor,Dili
